source,title,timestamp,continent,feed_url
Deutsche Welle English,Germany vows continued support of Israel as FM visits Berlin,2025-06-05T16:32:32.042282,Europe,https://rss.dw.com/rdf/rss-en-all
Deutsche Welle English,Germany updates: Merz in Washington for talks with Trump,2025-06-05T16:32:32.042285,Europe,https://rss.dw.com/rdf/rss-en-all
Deutsche Welle English,Central Europe's right-wing populist networks up their game,2025-06-05T16:32:32.042289,Europe,https://rss.dw.com/rdf/rss-en-all
Deutsche Welle English,Former Zambian president Edgar Lungu dies at 68,2025-06-05T16:32:32.042292,Europe,https://rss.dw.com/rdf/rss-en-all
France24 English,French suspect in racist killing of Tunisian neighbour to appear before anti-terrorism judge,2025-06-05T16:32:32.666292,Europe,https://www.france24.com/en/rss
France24 English,How Stitch overcame Tom Cruise at the French box office,2025-06-05T16:32:32.666309,Europe,https://www.france24.com/en/rss
France24 English,The seventh art: Why France shines on the silver screen,2025-06-05T16:32:32.666315,Europe,https://www.france24.com/en/rss
France24 English,Israeli opposition accuses Netanyahu's government of arming militias in Gaza,2025-06-05T16:32:32.666322,Europe,https://www.france24.com/en/rss
France24 English,'Nuit Blanche': Art after dark in Paris's beloved all-night festival,2025-06-05T16:32:32.666332,Europe,https://www.france24.com/en/rss
Euronews,Yurok tribe reclaims ancestral territory in California's largest ever land-back project,2025-06-05T16:32:33.275092,Europe,https://www.euronews.com/rss
Euronews,More than 200 items from Princess Diana’s wardrobe go up for auction,2025-06-05T16:32:33.275113,Europe,https://www.euronews.com/rss
Euronews,Solar records and dry fields: Britain’s sunniest spring ever has silver linings and hidden risks,2025-06-05T16:32:33.275118,Europe,https://www.euronews.com/rss
Euronews,New Zealand Parliament suspends three lawmakers for performing protest haka,2025-06-05T16:32:33.275124,Europe,https://www.euronews.com/rss
Euronews,"Gaza’s Eid al-Adha celebrations shadowed by war, shortages and soaring prices",2025-06-05T16:32:33.275129,Europe,https://www.euronews.com/rss
POLITICO Europe,Lagarde insists she’ll complete her term at ECB,2025-06-05T16:32:33.917517,Europe,https://www.politico.eu/feed/
POLITICO Europe,"To free Russia from Putin we need to save Ukraine first, Russian opposition tells EU",2025-06-05T16:32:33.917532,Europe,https://www.politico.eu/feed/
POLITICO Europe,Bulgaria disrupts European Parliament’s bill on North Macedonia EU accession,2025-06-05T16:32:33.917537,Europe,https://www.politico.eu/feed/
POLITICO Europe,New Brussels shooting leaves 1 dead,2025-06-05T16:32:33.917541,Europe,https://www.politico.eu/feed/
POLITICO Europe,ECB cuts again as it heads into an uncertain future,2025-06-05T16:32:33.917546,Europe,https://www.politico.eu/feed/
Al Jazeera,Getting food in Gaza has become “like the Hunger Games”,2025-06-05T16:32:36.222691,Asia,https://www.aljazeera.com/xml/rss/all.xml
Al Jazeera,Greta Thunberg on Gaza: Why we joined the Freedom Flotilla,2025-06-05T16:32:36.222710,Asia,https://www.aljazeera.com/xml/rss/all.xml
Al Jazeera,"‘You are not alone’, diplomat tells Palestinians after UN vote",2025-06-05T16:32:36.222717,Asia,https://www.aljazeera.com/xml/rss/all.xml
Al Jazeera,Netherlands still backs Israeli F-35 ‘supply chain of death’: Report,2025-06-05T16:32:36.222723,Asia,https://www.aljazeera.com/xml/rss/all.xml
Al Jazeera,Eid al-Adha greetings in different languages,2025-06-05T16:32:36.222729,Asia,https://www.aljazeera.com/xml/rss/all.xml
The Japan Times,Mother of North Korean abductee urges government to have sense of mission over issue,2025-06-05T16:32:37.842783,Asia,https://www.japantimes.co.jp/feed/
The Japan Times,Real wages in Japan fell 1.8% year on year in April,2025-06-05T16:32:37.842802,Asia,https://www.japantimes.co.jp/feed/
The Japan Times,Organizers to house athletes on 'floating village' during 2026 Asian Games,2025-06-05T16:32:37.842808,Asia,https://www.japantimes.co.jp/feed/
The Japan Times,Lawson and FamilyMart begin selling government-stockpiled rice,2025-06-05T16:32:37.842813,Asia,https://www.japantimes.co.jp/feed/
The Japan Times,Alphabet CEO expects to keep hiring engineers while AI advances,2025-06-05T16:32:37.842818,Asia,https://www.japantimes.co.jp/feed/
South China Morning Post,Harvard speech by Chinese graduate exposes class disillusionment at home,2025-06-05T16:32:39.064031,Asia,https://www.scmp.com/rss/91/feed
South China Morning Post,Robo financial adviser Syfe bolsters Hong Kong expansion after new funding round,2025-06-05T16:32:39.064040,Asia,https://www.scmp.com/rss/91/feed
South China Morning Post,"AI might solve China’s labour woes, but could also fuel deflation, report says",2025-06-05T16:32:39.064045,Asia,https://www.scmp.com/rss/91/feed
South China Morning Post,"China will drop the Great Firewall for some users, but only in southern Hainan",2025-06-05T16:32:39.064048,Asia,https://www.scmp.com/rss/91/feed
South China Morning Post,"Trump’s Harvard ban, how early birds conquered the skies: SCMP daily highlights",2025-06-05T16:32:39.064053,Asia,https://www.scmp.com/rss/91/feed
The Hindu India,"Plans afoot to plant 2 lakh saplings in coordination with forest department, says TTD Addl. EO",2025-06-05T16:32:39.713263,Asia,https://www.thehindu.com/news/national/feeder/default.rss
The Hindu India,"In Assam’s Goalpara, children give lessons on coexistence with elephants",2025-06-05T16:32:39.713270,Asia,https://www.thehindu.com/news/national/feeder/default.rss
The Hindu India,Family members of stampede victim blame Congress govt.,2025-06-05T16:32:39.713274,Asia,https://www.thehindu.com/news/national/feeder/default.rss
The Hindu India,Over 300 families evicted for ICTT continue to wait for eviction cards,2025-06-05T16:32:39.713277,Asia,https://www.thehindu.com/news/national/feeder/default.rss
The Hindu India,NHRC notice to Telangana over death of man due to police torture,2025-06-05T16:32:39.713281,Asia,https://www.thehindu.com/news/national/feeder/default.rss
Times of India,"Meghalaya murder: 'I was killed', say posters at honeymooner's funeral; kin fear wife abducted",2025-06-05T16:32:40.341893,Asia,https://timesofindia.indiatimes.com/rssfeedstopstories.cms
Times of India,"FIR filed against RCB, event organisers over Bengaluru stampede",2025-06-05T16:32:40.341912,Asia,https://timesofindia.indiatimes.com/rssfeedstopstories.cms
Times of India,"Trade war: Trump, Xi speak amid deadlock over tariffs; what was discussed",2025-06-05T16:32:40.341917,Asia,https://timesofindia.indiatimes.com/rssfeedstopstories.cms
Times of India,"Drones, K9 units: Post-Pahalgam attack, a full-spectrum shield for Amarnath Yatra",2025-06-05T16:32:40.341924,Asia,https://timesofindia.indiatimes.com/rssfeedstopstories.cms
Times of India,AI killing jobs: Google AI CEO Hassabis has a tip; If I were a student..,2025-06-05T16:32:40.341928,Asia,https://timesofindia.indiatimes.com/rssfeedstopstories.cms
Arab News,Thousands worldwide benefit from KSrelief medical programs,2025-06-05T16:32:40.939915,Asia,https://www.arabnews.com/rss.xml
Arab News,Georgina Rodriguez jets to New York for Charlotte Tilbury launch,2025-06-05T16:32:40.939930,Asia,https://www.arabnews.com/rss.xml
Arab News,DeChambeau holds off Howell as cruisers sweep LIV GOLF Korea,2025-06-05T16:32:40.939935,Asia,https://www.arabnews.com/rss.xml
Arab News,Syrians’ asylum requests in Europe drop to decade low,2025-06-05T16:32:40.939939,Asia,https://www.arabnews.com/rss.xml
Arab News,Baniyas crowned champions of third round of Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship,2025-06-05T16:32:40.939944,Asia,https://www.arabnews.com/rss.xml
BBC News Africa,Former Zambian President Lungu dies aged 68,2025-06-05T16:32:41.541086,Africa,https://feeds.bbci.co.uk/news/world/africa/rss.xml
BBC News Africa,Trump hits 10 African countries with travel ban and restrictions,2025-06-05T16:32:41.541107,Africa,https://feeds.bbci.co.uk/news/world/africa/rss.xml
BBC News Africa,World Bank U-turn ends loan ban to Uganda over gay rights,2025-06-05T16:32:41.541112,Africa,https://feeds.bbci.co.uk/news/world/africa/rss.xml
BBC News Africa,Burundi's ruling party seeks to tighten grip on power,2025-06-05T16:32:41.541116,Africa,https://feeds.bbci.co.uk/news/world/africa/rss.xml
BBC News Africa,Tanzania announces shutdown of X because of pornography,2025-06-05T16:32:41.541120,Africa,https://feeds.bbci.co.uk/news/world/africa/rss.xml
AllAfrica,Zambia: Former President Lungu Dies,2025-06-05T16:32:42.829498,Africa,https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf
AllAfrica,"Libya: Seal Libyan Sites of Rights Violations, Says UN Rights Chief",2025-06-05T16:32:42.829526,Africa,https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf
AllAfrica,South Africa: It's The 'Donald Disease' That's Making Us Sick,2025-06-05T16:32:42.829531,Africa,https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf
AllAfrica,South Africa: What The Child Protection Pledge Needs to Succeed,2025-06-05T16:32:42.829536,Africa,https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf
AllAfrica,"Africa: Entrepreneurship As Resilience - Sudanese Women, Displacement, and the Remaking of Home in Exile",2025-06-05T16:32:42.829541,Africa,https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf
Mail & Guardian SA,How AI Is changing journalism and why we must detect it early,2025-06-05T16:32:44.371689,Africa,https://mg.co.za/feed/
Mail & Guardian SA,We need to change – not reject – black economic empowerment,2025-06-05T16:32:44.371707,Africa,https://mg.co.za/feed/
